Algorithm,Case,Size,Time(sec)
SelectionSort,Лучший,100,0.000024
BubbleSort,Лучший,100,0.000001
MergeSort,Лучший,100,0.000036
SelectionSort,Средний,100,0.000031
BubbleSort,Средний,100,0.000065
MergeSort,Средний,100,0.000033
SelectionSort,Худший,100,0.000026
BubbleSort,Худший,100,0.000086
MergeSort,Худший,100,0.000029
SelectionSort,Лучший,500,0.000610
BubbleSort,Лучший,500,0.000002
MergeSort,Лучший,500,0.000162
SelectionSort,Средний,500,0.000588
BubbleSort,Средний,500,0.001565
MergeSort,Средний,500,0.000189
SelectionSort,Худший,500,0.000574
BubbleSort,Худший,500,0.002098
MergeSort,Худший,500,0.000167
SelectionSort,Лучший,1000,0.002182
BubbleSort,Лучший,1000,0.000004
MergeSort,Лучший,1000,0.000324
SelectionSort,Средний,1000,0.005308
BubbleSort,Средний,1000,0.010521
MergeSort,Средний,1000,0.000467
SelectionSort,Худший,1000,0.002302
BubbleSort,Худший,1000,0.015908
MergeSort,Худший,1000,0.000294
SelectionSort,Лучший,2000,0.012197
BubbleSort,Лучший,2000,0.000008
MergeSort,Лучший,2000,0.000676
SelectionSort,Средний,2000,0.009119
BubbleSort,Средний,2000,0.049563
MergeSort,Средний,2000,0.000832
SelectionSort,Худший,2000,0.018678
BubbleSort,Худший,2000,0.073486
MergeSort,Худший,2000,0.010186
